name,confidence,tags
Douglas Laing Caol Ila,high,peated|smoky|maritime|citrus
Douglas Laing Caperdonich Vintage,unknown,
Douglas Laing Clynelish,low,honey|fruity|maritime
Douglas Laing&Company Jura 1995,low,fruity|honey|oak
Douglas Laing & Co Old Particular Inchgower,unknown,
Douglas Laing & Co Old Particular Probably Orkney's Finest,low,honey|floral|smoky
Douglas Laing & Co Vintage 1986,unknown,
Douglas Laing & Co Vintage 1993,unknown,
Douglas Laing Cragganmore,low,floral|spicy|nutty
Douglas Laing Craigellachie,low,spicy|nutty|oak
Douglas Laing Dailuaine,low,sherry|spicy|oak
Douglas Laing Deanston Vintage,low,honey|citrus|vanilla
Douglas Laing Extra Old Particular Caol Islay,low,peated|smoky|maritime
Douglas Laing Fettercairn Vintage,low,honey|citrus|fruity
Douglas Laing Glenallachie Vintage,low,sherry|fruity|spicy
Douglas Laing Glenburgie,low,floral|fruity|honey
Douglas Laing Glenburgie Vintage,low,honey|floral|vanilla
Douglas Laing Glencadam Vintage,low,fruity|nutty|vanilla
Douglas Laing Glendronach Vintage,low,sherry|chocolate|nutty
Douglas Laing Glen Garioch Vintage Bourbon Cask,low,bourbon-cask|spicy|oak
Douglas Laing Glengoyne Vintage,low,sherry|fruity|honey
Douglas Laing Glen Grant,low,fruity|citrus|floral
Douglas Laing Glenlivet Vintage,low,citrus|fruity|oak
Douglas Laing Glenlossie Vintage,low,floral|vanilla
Douglas Laing Glen Moray Vintage,low,honey|vanilla|oak
Douglas Laing Glen Ord,low,sherry|nutty|spicy
Douglas Laing Glenrothes Vintage,low,sherry|fruity|floral
Douglas Laing Glen Spey,unknown,
Douglas Laing Glentauchers Vintage,low,floral|honey
Douglas Laing Highland Park Vintage,low,honey|floral|smoky|oak
Douglas Laing Jura Vintage,low,honey|maritime|vanilla
Douglas Laing Knockando Vintage,low,floral|nutty
Douglas Laing Laphroaig Vintage,high,peated|smoky|maritime|oak
Douglas Laing Linkwood Vintage,low,floral|citrus|honey
Douglas Laing Longmorn Vintage,low,fruity|honey|spicy
Douglas Laing Macduff Vintage,low,fruity|oak
Douglas Laing Miltonduff,low,honey|floral|fruity
Douglas Laing Mortlach,low,sherry|spicy|nutty
Douglas Laing Mortlach Vintage,low,sherry|nutty|chocolate
Douglas Laing Pittyvaich Vintage,unknown,
Douglas Laing Provenance Inchgower,unknown,
Douglas Laing Provenance Jura,low,fruity|maritime|spicy
Douglas Laing Rock Island,low,maritime|smoky|spicy
Douglas Laing Rock Island Sherry Edition,low,sherry|maritime|spicy
Douglas Laing Royal Lochnagar Vintage,low,sherry|honey|floral
Douglas Laing Scallywag,high,sherry|fruity|spicy|chocolate
Douglas Laing Speyside's Finest,low,fruity|floral|nutty
Douglas Laing's Rock Island,low,maritime|smoky|spicy
Douglas Laing's Timorous Beastie,low,sherry|spicy|oak
Douglas Laing Strathisla Vintage,low,sherry|fruity
Douglas Laing Strathmill Vintage,unknown,
Douglas Laing The Epicurean,low,floral|vanilla|citrus
Douglas Laing The Gauldrons,low,maritime|oak|spicy
Douglas Laing Timorous Beastie,low,sherry|spicy|oak
Douglas Laing Tobermory,low,maritime|fruity|nutty
Douglas Laing Tomatin,low,fruity|honey|vanilla
Douglas Laing Tomintoul,low,floral|fruity|vanilla
Douglas Laing Tullibardine,low,vanilla|floral|oak
Douglas Laing XOP Macallan 1990,low,sherry|fruity|chocolate
Douglas Laing XOP Speyside Finest 1967,unknown,
Dram Loch,unknown,
Drummers Reserve,unknown,
Dublin's Own,unknown,
D.U.C Double Cask,unknown,
D.U.C Triple Cask,unknown,
Dunville's 1808,low,honey|vanilla|floral
Dunvilles Blend,low,honey|floral|oak
Dunville's Dead Island,low,peated|smoky
Dunvilles Oloroso,low,sherry|fruity|spicy
Dunville's Palo Cortado,low,sherry|nutty|spicy
Dunville's PX,low,sherry|chocolate|fruity
Dunville's Three Crowns,low,vanilla|honey|spicy
Dunville's Three Crowns Peated,high,peated|smoky|honey
Eagle Rare,high,caramel|vanilla|oak|spicy
Eagle Rare Single Barrel,high,caramel|vanilla|oak|honey
Early Times,low,vanilla|caramel|oak
Ecosse G,unknown,
Edderwick,unknown,
Edradour,low,sherry|fruity|nutty
Edradour 2016 Hampden Cask 2016,low,fruity|spicy|caramel
Edradour Caledonia,low,fruity|vanilla|bourbon-cask
Edradour Cask Strength,low,sherry|fruity|spicy
Edradour Cask Strength 2013,low,sherry|nutty|oak
Edradour Lagrein Cask 2014,low,fruity|spicy|oak
Edradour Sherry Cask,low,sherry|fruity|nutty
Edradour Sherry Cask Finish,low,sherry|nutty|spicy
Eiregold,unknown,
Eiregold Special Reserve,unknown,
Element Fusion,unknown,
Element Lore,unknown,
Elements of Islay,low,peated|smoky|maritime
Elements Peated Malt M&H Distillery,high,peated|smoky|spicy
Elements Pomegranate Wine Cask M&H Distillery,low,fruity|spicy|oak
Elements Red Wine Cask M&H Distillery,low,fruity|oak|chocolate
Elements Sherry Cask M&H Distillery,low,sherry|fruity|spicy
Elijah Craig,high,caramel|vanilla|oak|spicy
Elijah Craig Single Barrel,high,vanilla|caramel|oak|honey
Elijah Craig Small Batch,high,caramel|honey|oak|spicy
Emerald Giant Rye Redwood Empire,low,spicy|caramel|oak
Empire Rye Batch 1,unknown,
ENTUZIAST HONEY SPIRIT AGED,low,honey|vanilla
Evade Wine Cask Finish French,unknown,
Evan Williams 1783,high,caramel|vanilla|oak
Evan Williams Black,high,vanilla|caramel|spicy
Evan Williams Bottled in Bond,high,caramel|oak|spicy
Explorers' Explorer Advent Calendar 2023,unknown,
Ezra Brooks White Label,high,vanilla|caramel|honey
Fauconnier Highland's Friends,unknown,
Fauconnier Hunting Lodge,unknown,
Fercullen,low,fruity|honey
Fercullen Estate 3 The Gate Amarone Cask Influence,low,fruity|oak
Fercullen Falls,low,honey|floral
Fercullen Falls Irish Small Batch,low,honey|vanilla
Fercullen The Gate Amarone Cask,low,fruity|oak
Fettercairn,high,fruity|honey|vanilla|oak
Fettercairn 1978,low,oak|fruity|vanilla
Fettercairn Koval/Brandy vs Porto Cask,low,fruity|oak
Fettercairn Vintage 1995,low,honey|fruity|oak
FEW,low,spicy|fruity
Filey Bay Flagship Spirit of Yorkshire,low,honey|fruity
Filey Bay Moscatel Sherry Cask Spirit of Yorkshire,low,sherry|fruity
Filey Bay Nurture Spirit of Yorkshire,low,honey|floral
Filey Bay STR Red Wine Cask Spirit of Yorkshire,low,fruity|spicy|oak
Fillers Sherry Cask,low,sherry|oak
Fillers Sherry Cask Strength,low,sherry|oak|spicy
Filliers,unknown,
Finity Irish Honey,high,honey|vanilla|caramel
Finlaggan Eilean Mor,high,peated|smoky|oak
Finlaggan Original Peaty,high,peated|smoky|maritime
Finlaggan Red Wine Cask,high,peated|smoky|fruity
Finlaggan Red Wine Cask Matured,high,peated|smoky|fruity
First Edition Speyburn,low,honey|floral|fruity
Fordman,unknown,
Forty Creek Copper Pot Reserve,high,fruity|spicy|vanilla|oak
Four Roses,high,fruity|floral|caramel
Four Roses + Four Roses Small Batch + Four Roses Single Barrel,high,fruity|floral|caramel|spicy
Four Roses Single Barrel,high,fruity|floral|oak|spicy
Four Roses Small Batch,high,fruity|floral|caramel|oak
Fuji,low,fruity|floral
Fujimi,low,fruity|vanilla
Fujimi Matsui Distillery,low,fruity|honey
Fujimi The 7 Virtues of the Samurai,unknown,
Fuyu,unknown,
Fuyu Barley,unknown,
Fuyu Mizunara,low,oak|spicy
Fuyu Mizunara Finish,low,oak|spicy
Gelston's,unknown,
Gelston's Halewood,unknown,
Gentleman Jack,high,vanilla|caramel|oak|spicy
Gentleman Jack Daniel's,high,vanilla|caramel|oak|spicy
Georgia Moon Corn,unknown,
Girvan,low,vanilla|floral|fruity
Girvan Patent Still,low,vanilla|fruity|oak
Girvan Patent Still №4 Apps,low,vanilla|floral|oak
Glant Bernard,unknown,
GlenAladale Blue Edition,unknown,
GlenAladale Red Edition,unknown,
GlenAllachie,high,sherry|fruity|chocolate|spicy
Glenallachie 2014 Sinteis French Virgin Oak & Oloroso Cask,low,sherry|oak|spicy
GlenAllachie Amontillado Sherry Cask Finish,low,sherry|nutty|oak
GlenAllachie Cask Strength,high,sherry|oak|chocolate|spicy
GlenAllachie Cask Strength (Batch),high,sherry|oak|chocolate|spicy
Glenallachie Chinquapin Oak,low,oak|vanilla|caramel
GlenAllachie Cuvee,low,fruity|floral|oak
GlenAllachie Douro Wine Finish,low,fruity|chocolate|oak
GlenAllachie Fino Sherry Cask Finish,low,sherry|nutty|citrus
GlenAllachie Grattamacco Wine Finish,low,fruity|spicy|oak
Glenallachie Hungarian Oak,low,oak|spicy|vanilla
GlenAllachie Oloroso Sherry Cask Finish,low,sherry|chocolate|nutty
GlenAllachie Premier Cru classé Wine Finish,low,fruity|floral|spicy
GlenAllachie Ruby Port Cask Finish,low,fruity|chocolate|oak
Glenallachie Scottish Oak,low,oak|spicy|honey
Glenallachie Vintage 1995,low,sherry|fruity|nutty
Glenalmond,unknown,
Glen Angel,unknown,
Glen Barley №3,unknown,
Glen Barley №5,unknown,
Glen Barley №7,unknown,
Glen Broch,unknown,
Glenburgie 1980 - Old & Rare,low,floral|honey|oak
Glenburgie Vintage 1992,low,floral|honey|fruity
Glenburgie Vintage 1995,low,honey|fruity|oak
Glencadam,high,fruity|floral|honey
Glencadam American Oak Reserve,low,vanilla|oak|fruity
Glencadam Origin 1825,high,honey|floral|oak
Glencadam Reserva Andalucia Oloroso Sherry Cask Finish,low,sherry|chocolate|nutty
Glencadam Reserva de Amarone Amarone Wine Cask Finish,low,fruity|spicy|caramel
Glencadam Reserva de Jerez Oloroso Sherry Cask Finish,low,sherry|chocolate|nutty
Glencadam Reserva de Madeira Madeira Cask Finish,low,fruity|nutty|caramel
Glencadam Reserva de Madeira Madeira Wine Cask Finish,low,fruity|nutty|caramel
Glencadam Reserva de Porto Branco White Port Cask Finish,low,citrus|fruity|floral
Glencadam Reserva de Porto Tawny Tawny Port Cask Finish,low,fruity|caramel|oak
Glencadam Reserva PX Pedro Ximenez Sherry Cask Finish,low,sherry|chocolate|fruity
Glencadam Reserve de Bordeaux Merlot Wine Cask Finish,low,fruity|oak|chocolate
Glencadam Reserve de Burgundy Pinot Noir Wine Cask Finish,low,fruity|floral|oak
Glencadam Reserve de Calvados Calvados Barrel Finish,low,fruity|spicy|vanilla
Glencadam Vintage 1990,high,fruity|honey|oak
Glencoe,low,fruity|honey
Glendale,unknown,
Glendale Reserve,unknown,
Glendalough Double Barrel,low,vanilla|oak|spicy
Glendalough Mizunara Cask Finish,low,oak|spicy|floral
Glendalough Pot Still Peated,high,peated|smoky|spicy
Glen Deveron,low,fruity|honey
Glendronach,high,sherry|chocolate|fruity|nutty
Glendronach #7006 CB Batch 18,low,sherry|fruity|chocolate
Glendronach Ode To The Dark,low,sherry|chocolate|oak
Glendronach Ode To The Embers,low,sherry|oak|spicy
Glendronach Ode To The Valley,low,sherry|honey|oak
GlenDronach Peated,high,peated|smoky|sherry
Glendronach The Original,high,sherry|chocolate|fruity
Glendronach Vintage 1995,low,sherry|fruity|oak
Glen Elgin,low,honey|floral|fruity
Glenfarclas,high,sherry|fruity|oak|spicy
Glenfarclas 105,high,sherry|oak|chocolate|spicy
Glenfarclas Heritage,high,sherry|fruity|honey
Glenfarclas The Family Cask,low,sherry|oak|nutty
Glenfarclas The Family Cask 1957 (Release X) #1081,low,sherry|fruity|caramel
Glenfarclas The Family Cask 1960 A13 #1770,low,sherry|fruity|spicy
Glenfarclas The Family Cask A25 #531,low,sherry|fruity|spicy
Glenfarclas The Family Cask S22 #852,low,sherry|nutty|oak
Glenfiddich,high,fruity|floral|oak|vanilla
Glenfiddich Amontillado Sherry Cask Finish,low,sherry|nutty|fruity
Glenfiddich Bourbon Barrel Reserve,high,bourbon-cask|vanilla|honey|oak
Glenfiddich Fire and Cane,high,smoky|caramel|spicy|vanilla
Glenfiddich Fire&Cane,high,smoky|caramel|spicy|vanilla
Glenfiddich Grand Cru,high,fruity|floral|vanilla|oak
Glenfiddich Grande Couronne,high,fruity|oak|spicy|vanilla
Glenfiddich Grand Yozakura,low,floral|fruity|honey|oak
Glenfiddich IPA Experiment,high,citrus|fruity|floral|vanilla
Glenfiddich Mix Pack,unknown,
Glenfiddich Orchard Experiment,high,fruity|floral|vanilla|honey
Glenfiddich Project XX,high,fruity|spicy|oak|vanilla
Glenfiddich Sherry Cask,high,sherry|fruity|spicy|oak
Glenfiddich Small Batch,low,fruity|honey|oak
Glenfiddich Triple Oak,low,oak|vanilla|fruity
Glenfiddich VAT 01,low,vanilla|oak|fruity
Glengannon,unknown,
Glen Garioch,low,spicy|floral|oak|citrus
Glen Garioch Faunder's Reserve,low,spicy|vanilla|oak|fruity
Glen Garioch Founder's Reserve,high,spicy|vanilla|oak|fruity
Glenglassaugh,low,fruity|honey|maritime|vanilla
Glenglassaugh Portsoy,low,maritime|fruity|honey|oak
Glenglassaugh Rare Cask #2230 PX Sherry 1968,high,sherry|chocolate|fruity|oak
Glenglassaugh Sandend,low,fruity|honey|maritime|oak
Glengoyne,high,sherry|fruity|spicy|oak
Glengoyne Cask Strength,high,sherry|fruity|spicy|oak
Glengoyne Hepburn's Choice,low,fruity|spicy|oak
Glengoyne White Oak,unknown,
Glen Grant,high,fruity|floral|citrus|vanilla
Glen Grant Arboralis,high,fruity|floral|vanilla|citrus
Glen Grant The Major's Reserve,high,fruity|floral|vanilla|honey
Glen Keith,low,fruity|floral|vanilla
Glen Keith Vintage 1993,low,fruity|floral|honey
Glenkinchie,high,floral|citrus|fruity|vanilla
Glenkinchie Distillers Edition,high,sherry|floral|citrus|fruity
Glenkinchie The Floral Treasure,high,floral|citrus|fruity|honey
Glenlassie,unknown,
Glenlivet Captain's Reserve,high,fruity|vanilla|oak|spicy
Glenlivet Double Oak,high,vanilla|caramel|oak|fruity
Glenlivet Triple Cask Matured,high,honey|fruity|vanilla|oak
Glenlivet Vintage 1995,low,fruity|floral|honey
Glenlossie,low,floral|fruity|vanilla
Glenlossie Flora and Fauna,low,floral|fruity|nutty
Glenlossie Vintage 1993,low,floral|fruity|vanilla
Glenmorangie,high,floral|citrus|vanilla|honey
Glenmorangie Accord,unknown,
Glenmorangie A Tale of Ice Cream,high,vanilla|fruity|caramel|honey
Glenmorangie A Tale of the Forest,high,honey|floral|spicy|oak
Glenmorangie A Tale Of Winter,high,spicy|fruity|vanilla|oak
Glenmorangie Calvados Cask Finish,high,fruity|floral|oak|spicy
Glenmorangie Elementa,low,honey|vanilla|oak
Glenmorangie Lasanta,high,sherry|chocolate|fruity|oak
Glenmorangie Original,high,citrus|floral|vanilla|honey
Glenmorangie Palo Cortado,high,sherry|fruity|spicy|oak
Glenmorangie Palo Cortado Cask Finish,high,sherry|fruity|spicy|oak
Glenmorangie Palo Cortado Finish,high,sherry|fruity|spicy|oak
Glenmorangie Signet,high,chocolate|fruity|nutty|spicy
Glenmorangie Tale of Ice Cream,high,vanilla|fruity|caramel|honey
Glenmorangie Tale of Spices,low,spicy|fruity|vanilla
Glenmorangie Tale of the Forest,high,honey|floral|spicy|oak
Glenmorangie Tale of Tokyo,low,spicy|oak|fruity
Glenmorangie The Cadboll Estate,low,honey|vanilla|floral
Glenmorangie The Infinita,unknown,
Glenmorangie The Nectar,high,honey|citrus|vanilla|fruity
Glenmorangie The Quinta Ruban,high,chocolate|fruity|spicy|oak
Glenmorangie The Tribute,unknown,
Glenmorangie Triple Cask Reserve,low,vanilla|spicy|honey|oak
Glenmorangie X,high,vanilla|citrus|floral
Glen Moray,high,honey|vanilla|fruity|oak
Glen Moray Cabernet Cask Finish,high,fruity|spicy|oak|caramel
Glen Moray Chardonnay Cask Finish,high,fruity|citrus|floral|vanilla
Glen Moray Classic,high,honey|vanilla|fruity|oak
Glen Moray Classic Chardonnay,high,fruity|citrus|floral
Glen Moray - Old Malt Cask,low,vanilla|honey|oak
Glen Moray Peated,high,peated|smoky|honey|vanilla
Glen Moray Phoenix Rising,unknown,
Glen Moray Port,high,fruity|spicy|caramel|oak
Glen Moray Sherry,high,sherry|fruity|spicy|oak
Glen Moray Smoky,low,smoky|honey|vanilla
Glen Moray Vintage 1991,low,honey|vanilla|oak
Glen Ord Vintage 1990,low,sherry|fruity|spicy
Glen Ord Vintage 1997,low,sherry|fruity|spicy
Glen Parker,unknown,
Glenrothes,high,sherry|fruity|honey|citrus
Glenrothes Jurancon,high,fruity|honey|floral|citrus
Glenrothes Vintage 1990,low,sherry|fruity|honey
Glen Russell,unknown,
Glen Ryan,unknown,
Glen Scanlan,unknown,
Glen Scotia,high,maritime|vanilla|fruity|oak
Glen Scotia Amontillado Cask,high,sherry|maritime|nutty|oak
Glen Scotia Campbeltown Harbour,high,maritime|fruity|vanilla|caramel
Glen Scotia Double Cask,high,sherry|maritime|fruity|vanilla
Glen Scotia Double Cask Rum Cask Finish,high,fruity|caramel|maritime|vanilla
Glen Scotia Double Cask Rum Finish,high,fruity|caramel|maritime|spicy
Glen Scotia Harbour,high,maritime|vanilla|fruity
Glen Scotia Heavily Peated Ribera Del Duero Finish,high,peated|smoky|fruity|spicy
Glen Scotia The Dragon,low,maritime|fruity|vanilla|honey
Glen Scotia The Mermaid,low,maritime|floral|fruity|vanilla
Glen Scotia Unpeated Fino Sherry Finish,high,sherry|nutty|maritime|citrus
Glen Scotia Victoriana,low,spicy|oak|fruity|maritime
Glenshiel,unknown,
Glen Spey Flora and Fauna,low,floral|fruity|vanilla
Glen Spey Vintage 1997,low,floral|fruity|vanilla
Glen Talloch,unknown,
Glentauchers Rare Stock,low,fruity|floral|vanilla
Glentauchers Ukrainian Virgin Cask,low,oak|spicy|vanilla
Glen Turner,low,vanilla|honey|fruity
Glen Turner Double Cask,low,vanilla|caramel|oak
Glen Turner + Glen Turner Triple Cask + Glen Turner Sherry Cask,unknown,
Glen Turner Heritage,low,vanilla|honey|caramel
Glen Turner Heritage Double Cask,low,vanilla|caramel|oak|fruity
Glen Turner Heritage Double Wood,low,vanilla|honey|oak
Glen Turner Rum Cask Finish,low,caramel|fruity|vanilla
Glen Turner Sherry Cask,low,sherry|fruity|spicy
Glen Turner Triple Cask,low,vanilla|honey|caramel|oak
Glenturret Peated,high,peated|smoky|oak|spicy
Gold Mill,unknown,
Gordon & MacPhail Ardmore 1998,low,peated|smoky|fruity
Gordon & MacPhail Bunnahabhain Connoisseurs Choice 1989,low,sherry|maritime|nutty|fruity
Gordon & MacPhail Bunnahabhain Discovery,low,maritime|sherry|fruity
Gordon & MacPhail Caol Ila Connoisseurs Choice 1991,high,peated|smoky|maritime|citrus
Gordon & MacPhail Caol Ila Discovery,high,peated|smoky|maritime|citrus
Gordon & MacPhail Connoisseurs Choice Caol Ila 2010,high,peated|smoky|maritime|citrus
Gordon & MacPhail Connoisseurs Choice Glenrothes 2007,low,sherry|fruity|honey
Gordon & MacPhail Glenrothes,low,sherry|fruity|honey
Gordon & MacPhail Inverleven Connoisseurs Choice 1989,unknown,
Gordon & MacPhail Ledaig Discovery,high,peated|smoky|maritime|fruity
Gordon & MacPhail Miltonduff Discovery,low,floral|fruity|vanilla
Gordon & MacPhail Mortlach,high,sherry|fruity|oak|nutty
Gordon&MacPhail Smith's Glenlivet 1955 Rare Vintage,unknown,
Gordon & MacPhail Speymalt Macallan 2001,high,sherry|chocolate|fruity|spicy
Gordon & MacPhail Strathisla 1949,low,sherry|fruity|honey
Gordon & MacPhail Tamdhu Private Collection 1972,high,sherry|fruity|spicy|oak
Grace O'Malley,low,honey|vanilla|fruity|oak
Grace O'Malley Dark Char Cask,high,caramel|oak|vanilla|spicy
Grace O'Malley Independence Edition,unknown,
Grace O'Malley Maritime Cask,low,maritime|vanilla|oak
Grace O'Malley Rum Cask,low,fruity|honey|caramel
Grace O'Malley Stout Cask,low,chocolate|caramel|nutty
Grand Grizzly,low,caramel|vanilla|spicy
Grand Moldaviens,low,spicy|vanilla|fruity
Grants,high,honey|vanilla|floral|spicy
Grant's Ale Cask,low,honey|nutty|caramel
Grant's Ale Cask Reserve,low,honey|nutty|oak
Grant's Family Reserve,high,honey|vanilla|floral|spicy
Grants Rum Cask,low,fruity|caramel|vanilla
Grant's Rum Cask Blend,low,fruity|caramel|vanilla
Grant's Sherry Cask,low,sherry|fruity|spicy
Grants Summer Orange,low,citrus|vanilla|floral
Grant's Triple Wood,high,vanilla|sherry|oak|honey
Grant's Triple Wood Smoky,high,smoky|vanilla|sherry|oak
Grants Tropical Fiesta,low,fruity|vanilla|caramel
Grants Winter Desert,low,caramel|spicy|vanilla
Grant's Winter Dessert,low,caramel|spicy|vanilla
Gravediggers,low,vanilla|caramel|fruity
Great Barrel,unknown,
Great Oaks,unknown,
Great Oaks Single Cask,unknown,
Green Label Johnnie Walker,high,fruity|honey|smoky|spicy
Green Spot,high,fruity|spicy|honey|oak
Greign,low,caramel|honey|fruity
Gwalarn,low,maritime|floral|oak
Hakushu,high,citrus|floral|fruity|oak
Hakushu Distiller's Reserve,high,citrus|floral|fruity|vanilla
Hankey Bannister,low,honey|fruity|floral
Hankey Bannister Heritage,low,sherry|honey|oak
Hankey Bannister Original,low,honey|fruity|vanilla
Hankey Bannister Regency,low,honey|oak|spicy
Haran Finished in Cider Cask,low,fruity|floral|oak
Haran Finished in Porto Cask,low,fruity|oak|spicy
Haran Finished in Sherry Cask,low,sherry|fruity|oak
Haran Original Casks Selection,unknown,
Haran Original Small Batch Reserve,unknown,
Haran Traditional Iberian Oak,low,oak|spicy|vanilla
Hardenberg,unknown,
Hardenberg Straight Malt,unknown,
Hart Brothers,unknown,
Hart Brothers Balmenach,low,sherry|fruity|spicy
Hart Brothers Benriach,low,fruity|honey|vanilla
Hart Brothers Bowmore Vintage,low,peated|maritime|floral
Hart Brothers Brackla,low,floral|fruity|spicy
Hart Brothers Bruichladdich Vintage,low,floral|fruity|maritime
Hart Brothers Caol Ila Vintage,low,peated|smoky|maritime
Hart Brothers Craigellachie,low,nutty|spicy|oak
Hart Brothers Dalmore,low,sherry|citrus|chocolate
Hart Brothers Girvan,low,vanilla|caramel
Hart Brothers Glenburgie,low,floral|honey|vanilla
Hart Brothers Glengoyne,low,honey|nutty|oak
Hart Brothers Glen Moray,low,fruity|floral|vanilla
Hart Brothers Glen Ord,low,fruity|spicy|nutty
Hart Brothers Glen Scotia Vintage,low,maritime|nutty|oak
Hart Brothers Glen Spey Vintage,low,floral|fruity|citrus
Hart Brothers Glentauchers Sherry Wood,low,sherry|fruity|spicy
Hart Brothers Inchmurrin Port Pipe,low,fruity|spicy|chocolate
Hart Brothers Islay Peated,low,peated|maritime|oak
Hart Brothers Longmorn,low,fruity|honey|nutty
Hart Brothers Port Fin,low,fruity|caramel|spicy
Hart Brothers Sherry Finish,low,sherry|fruity|spicy
Hart Brothers Speyburn,low,honey|vanilla|citrus
Hart Brothers Tobermory Vintage,low,maritime|fruity|nutty
Hart Brothers Tomatin,low,fruity|vanilla|floral
Hart Brothers Tullibardine,low,fruity|vanilla|honey
Hatozaki,high,fruity|honey|floral|citrus
Hatozaki Kaikyo,low,honey|vanilla|oak|fruity
Hatozaki Triple Cask Reserve,low,sherry|vanilla|oak
Heaven Hill,high,caramel|vanilla|oak|spicy
Heaven Hill Brands Rittenhouse,high,spicy|oak|caramel
Heaven Hill Distilleries Evan Williams Cherry,high,fruity|vanilla|caramel
Heaven Hill Distilleries Evan Williams Fire,high,spicy|vanilla|caramel
Heaven Hill Distilleries Evan Williams Honey,high,honey|vanilla|caramel
Heaven Hill Old Style,low,caramel|vanilla|spicy
Heaven Hill Rittenhouse,high,spicy|caramel|oak
Heaven Hill Rittenhouse Distilleries Evan Williams,low,caramel|vanilla|oak
Heaven's Door Double Barrel,low,caramel|oak|spicy
Heaven's Door Tennessee,low,vanilla|caramel|smoky
Hellyers Road Original Roaring s Tasmania,low,fruity|vanilla|oak
Helsinki,unknown,
Hepburn's Choice Benrinnes,low,sherry|spicy|oak
Hepp Tharcis Alsacien,unknown,
Hiberum Saboga,unknown,
Hiberum Saboga 2024,unknown,
Hibiki Harmony,high,floral|honey|fruity|citrus
Hibiki Japanese Harmony Suntory,high,floral|fruity|vanilla|honey
High Commissioner,unknown,
Highiland Baron,unknown,
Highland Baron,unknown,
Highland Chief,unknown,
Highland Mist,unknown,
Highland Park,high,peated|honey|floral|maritime
Highland Park Alc-hem-ist,low,honey|floral|smoky
Highland Park Dragon Legends,low,sherry|chocolate|spicy
Highland Park Harald,low,sherry|spicy|oak
Highland Park Land of Orkney,low,honey|sherry|floral
Highland Park Ukraine #1,low,honey|maritime|floral
Highland Park Vintage 1996,low,sherry|honey|oak
Highland Queen,unknown,
Highland Queen Sherry Cask Finish,low,sherry|fruity|oak
Hinch,low,honey|vanilla|floral
Hinch Distillers Cut,low,honey|oak|spicy
Hinch Double Wood,low,honey|sherry|vanilla
Hinch Oloroso Sherry Finish,low,sherry|fruity|spicy
Hinch Peated,high,peated|smoky|vanilla
Hinch Sherry Finish,low,sherry|honey|oak
Hinch Small Batch,low,honey|vanilla|citrus
Hinotori,unknown,
House of Maclair Ian Macleod,unknown,
Hungry Hill,low,honey|vanilla
Hunter Laing Old & Rare Tullibardine,low,fruity|honey|vanilla
Hunting Lodge,unknown,
Hyde,low,honey|floral|vanilla
Hyde 7 Sherry Cask,low,sherry|fruity|vanilla
Hyde Bandon Blend,low,honey|vanilla|caramel
Hyde Bourbon Cask Matured,low,bourbon-cask|vanilla|honey
Hyde Cask Strength Bourbon Cask Finish,low,bourbon-cask|vanilla|spicy
Hyde Cask Strength Sherry Cask Finish,low,sherry|spicy|oak
Hyde No.11 1949 Peated,low,peated|smoky|oak
Hyde №11 1949 Peated,low,peated|smoky|oak
Hyde №11 Peated 1949,low,peated|smoky|oak
Hyde №11 Peated Bourbon Finish,low,peated|bourbon-cask|vanilla
Hyde No.12 1893,low,spicy|fruity|honey
Hyde №12 Sherry Finish,low,sherry|spicy|fruity
Hyde №3 1916,low,vanilla|caramel|oak
Hyde №3 Limited Edition,low,vanilla|caramel|floral
Hyde №4,low,honey|vanilla|oak
Hyde №4 Rum Finish,low,fruity|honey|vanilla
Hyde №5 1860,low,vanilla|honey
Hyde №6 1938,low,vanilla|caramel
Hyde №7 President's Cask Sherry Finish,low,sherry|fruity|oak
Hyde No.9 1906,low,fruity|vanilla
Hyde №9 1906,low,fruity|vanilla
Hyde №9 Iberian Cask Tawny Port Finish,low,fruity|chocolate|oak
Hyde Sherry Cask Finish,low,sherry|fruity|nutty
Ian Macleod Distillers Isle of Skye,low,maritime|spicy|honey
Ichiro's Malt&Grain,high,fruity|honey|vanilla|floral
Imperial Imperial 1995,low,honey|fruity|oak
Inchgower,low,maritime|honey|oak
Inchgower Flora&Fauna,low,maritime|honey|oak
Islay Barley Bruichladdich,high,floral|citrus|oak|vanilla
Islay Barley Bruichladdich 2012,high,floral|citrus|vanilla
Islay Barley Bruichladdich Port Charlotte,low,peated|smoky|maritime|oak
Islay Barley Port Charlotte Bruichladdich,low,peated|smoky|maritime
Islay Mist,high,peated|smoky|honey
Islay Mist Deluxe,high,peated|smoky|oak|honey
Islay Mist Original,high,peated|smoky|honey|caramel
Islay Mist Original Peated Blend,high,peated|smoky|maritime
Isle of Harris The Hearach,low,peated|maritime|fruity|floral
Isle of Jura,low,honey|floral|maritime
Isle of Jura 212 Two-one-Two,unknown,
Isle of Jura French Oak,low,oak|vanilla|spicy
Isle of Jura Red Wine,low,fruity|oak|spicy
Isle of Jura Rum Cask,low,fruity|honey|vanilla
Isle of Jura Seven Wood,low,oak|vanilla|caramel
Isle of Jura Winter Edition Box,low,spicy|oak|caramel
Isle of Skye,low,honey|oak|spicy
Jack&Coke Jack Daniel's,high,vanilla|caramel
